Segment,Nb_clients,Taux_churn_%,Customer_Age,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,7650,17.9,46.4,36.0,4.0,2.4,2.5,4832.0,1143.1,3689.0,0.8,3416.4,60.3,0.7,0.3
2,2477,10.5,46.0,35.7,3.3,2.3,2.4,20367.6,1223.8,19143.8,0.8,7454.6,78.8,0.7,0.1
